Ranking IF,Journal name,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,Total Citations,2022 JIF,JIF Quartile,2022 JCI,% of Citable OA
1,JOURNAL OF ARCHAEOLOGICAL RESEARCH,J ARCHAEOL RES,SPRINGER,1059-0161,1573-7756,ARCHAEOLOGY,AHCI,892,3.8,N/A,3.47,31.25%
2,JOURNAL OF CULTURAL HERITAGE,J CULT HERIT,ELSEVIER FRANCE-EDITIONS SCIENTIFIQUES MEDICALES ELSEVIER,1296-2074,1778-3674,ARCHAEOLOGY,AHCI,5595,3.1,N/A,2.1,20.83%
3,AMERICAN ANTIQUITY,AM ANTIQUITY,CAMBRIDGE UNIV PRESS,0002-7316,2325-5064,ARCHAEOLOGY,AHCI,3587,2.8,N/A,1.92,38.60%
4,JOURNAL OF ARCHAEOLOGICAL SCIENCE,J ARCHAEOL SCI,ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD,0305-4403,1095-9238,ARCHAEOLOGY,AHCI,15765,2.8,N/A,1.73,34.62%
5,JOURNAL OF ARCHAEOLOGICAL METHOD AND THEORY,J ARCHAEOL METHOD TH,SPRINGER,1072-5369,1573-7764,ARCHAEOLOGY,AHCI,1741,2.3,N/A,2.01,42.24%
6,Archaeological and Anthropological Sciences,ARCHAEOL ANTHROP SCI,SPRINGER HEIDELBERG,1866-9557,1866-9565,ARCHAEOLOGY,AHCI,3226,2.2,N/A,1.3,33.95%
7,JOURNAL OF WORLD PREHISTORY,J WORLD PREHIST,SPRINGER,0892-7537,1573-7802,ARCHAEOLOGY,AHCI,842,2,N/A,2.07,56.25%
8,JOURNAL OF FIELD ARCHAEOLOGY,J FIELD ARCHAEOL,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",0093-4690,2042-4582,ARCHAEOLOGY,AHCI,1385,1.9,N/A,1.62,33.85%
9,JOURNAL OF ANTHROPOLOGICAL ARCHAEOLOGY,J ANTHROPOL ARCHAEOL,ACADEMIC PRESS INC ELSEVIER SCIENCE,0278-4165,1090-2686,ARCHAEOLOGY,AHCI,2651,1.8,N/A,1.44,26.47%
10,Archaeological Dialogues,ARCHAEOL DIALOG,CAMBRIDGE UNIV PRESS,1380-2038,1478-2294,ARCHAEOLOGY,AHCI,311,1.8,N/A,1.4,39.39%
